Timestamp,Signal
0.00,2000
0.20,1993
0.40,1995
0.60,2000
0.80,1979
1.00,1963
1.20,1966
1.40,1959
1.60,1984
1.80,2015
2.00,1981
2.20,1994
2.40,1966
2.60,1997
2.80,1930
3.00,1961
3.20,1950
3.40,1974
3.60,1975
3.80,1979
4.00,1968
4.20,1951
4.40,2027
4.60,1994
4.80,2042
5.00,2037
5.20,2031
5.40,2021
5.60,2028
5.80,2011
6.00,1953
6.20,2022
6.40,2002
6.60,1991
6.80,1986
7.00,1965
7.20,1973
7.40,1918
7.60,1962
7.80,1970
8.00,1953
8.20,1950
8.40,1937
8.60,1930
8.80,1925
9.00,1929
9.20,1954
9.40,1937
9.60,1925
9.80,1924
10.00,1916
10.20,1909
10.40,1903
10.60,1926
10.80,1904
11.00,1946
11.20,1904
11.40,1943
11.60,1915
11.80,1908
12.00,1911
12.20,1919
12.40,1923
12.60,1920
12.80,1923
13.00,1915
13.20,1922
13.40,1909
13.60,1918
13.80,1889
14.00,1922
14.20,1921
14.40,1850
14.60,1872
14.80,1834
15.00,1826
15.20,1825
15.40,1846
15.60,1840
15.80,1847
16.00,1862
16.20,1819
16.40,1811
16.60,1862
16.80,1820
17.00,1842
17.20,1869
17.40,1885
17.60,1872
17.80,1886
18.00,1905
18.20,1899
18.40,1900
18.60,1933
18.80,1918
19.00,1910
19.20,1916
19.40,1951
19.60,1950
19.80,1953
20.00,1963
20.20,1957
20.40,1979
20.60,1954
20.80,1991
21.00,1985
21.20,1974
21.40,1962
21.60,1979
21.80,1971
22.00,1965
22.20,1982
22.40,1986
22.60,1974
22.80,1943
23.00,1959
23.20,1935
23.40,1963
23.60,1965
23.80,1983
24.00,1958
24.20,1954
24.40,2045
24.60,2013
24.80,2019
25.00,2055
25.20,2038
25.40,2027
25.60,2033
25.80,2035
26.00,1971
26.20,2010
26.40,2014
26.60,2000
26.80,1986
27.00,1967
27.20,1971
27.40,1935
27.60,1943
27.80,1950
28.00,1959
28.20,1942
28.40,1959
28.60,1947
28.80,1935
29.00,1942
29.20,1918
29.40,1942
29.60,1906
29.80,1901
30.00,1927
30.20,1931
30.40,1920
30.60,1922
30.80,1918
31.00,1919
31.20,1906
31.40,1927
31.60,1903
31.80,1933
32.00,1914
32.20,1894
32.40,1910
32.60,1898
32.80,1932
33.00,1920
33.20,1930
33.40,1904
33.60,1903
33.80,1898
34.00,1906
34.20,1902
34.40,1825
34.60,1895
34.80,1835
35.00,1839
35.20,1845
35.40,1822
35.60,1840
35.80,1856
36.00,1872
36.20,1840
36.40,1843
36.60,1872
36.80,1840
37.00,1840
37.20,1877
37.40,1891
37.60,1931
37.80,1872
38.00,1922
38.20,1889
38.40,1902
38.60,1913
38.80,1901
39.00,1921
39.20,1933
39.40,1947
39.60,1963
39.80,1967
40.00,1943
40.20,1957
40.40,1968
40.60,1965
40.80,1993
41.00,1981
41.20,1974
41.40,1970
41.60,1959
41.80,1959
42.00,1984
42.20,2016
42.40,2022
42.60,2017
42.80,1952
43.00,1951
43.20,1931
43.40,1947
43.60,1968
43.80,1990
44.00,1947
44.20,1984
44.40,2023
44.60,1991
44.80,2038
45.00,2029
45.20,2035
45.40,2036
45.60,2032
45.80,2047
46.00,1979
46.20,1983
46.40,2003
46.60,1968
46.80,1979
47.00,1985
47.20,1970
47.40,1946
47.60,1915
47.80,1931
48.00,1938
48.20,1948
48.40,1943
48.60,1933
48.80,1923
49.00,1927
49.20,1921
49.40,1920
49.60,1898
49.80,1925
50.00,1911
50.20,1919
50.40,1930
50.60,1927
50.80,1921
51.00,1924
51.20,1925
51.40,1933
51.60,1930
51.80,1919
52.00,1904
52.20,1923
52.40,1898
52.60,1921
52.80,1925
53.00,1921
53.20,1925
53.40,1903
53.60,1913
